,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,bonfim,3.08,-59.95,86.38,61,99,2.91,BR,1590600080
133,beringovskiy,63.05,179.32,34.3,97,100,5.86,RU,1590600080
134,bitung,1.45,125.18,77.0,88,20,3.36,ID,1590600081
135,ginda,30.69,78.49,64.85,29,72,8.03,IN,1590600081
136,nome,64.5,-165.41,42.8,87,90,12.75,US,1590600082
137,saint-augustin,51.23,-58.65,53.49,43,46,12.24,CA,1590600082
138,angoram,-4.06,144.07,75.02,98,11,0.94,PG,1590600083
139,amberley,39.2,-84.43,82.0,57,75,5.82,US,1590600083
140,domoni,-12.26,44.53,76.3,74,0,4.29,KM,1590600084
141,carnarvon,-24.87,113.63,65.91,46,0,12.19,AU,1590600084
142,vaini,-21.2,-175.2,68.0,94,20,2.24,TO,1590600084
143,port macquarie,-31.43,152.92,54.0,93,40,4.97,AU,1590600085
144,kardla,59.0,22.75,54.0,84,58,8.01,EE,1590600086
145,alta floresta,-9.88,-56.09,86.0,45,0,6.93,BR,1590600086
146,norman wells,65.28,-126.83,53.6,66,40,4.7,CA,1590600087
147,pevek,69.7,170.31,36.1,82,75,14.7,RU,1590600087
148,bull savanna,17.89,-77.59,85.82,62,100,13.85,JM,1590600087
149,faanui,-16.48,-151.75,80.58,79,7,11.5,PF,1590600088
150,guozhen,34.37,107.36,65.91,41,98,5.68,CN,1590600088
151,churapcha,62.0,132.43,60.33,60,99,9.19,RU,1590599967
152,stafford,52.81,-2.12,73.99,53,35,5.01,GB,1590599821
153,hualmay,-11.1,-77.61,71.65,67,3,8.7,PE,1590600011
154,mersing,2.43,103.84,78.8,94,90,3.36,MY,1590600090
155,lalmohan,22.34,90.74,84.34,79,72,20.58,BD,1590600091
156,bengkulu,-3.8,102.27,76.37,89,100,10.16,ID,1590600091
157,great falls,47.5,-111.3,62.01,62,1,3.0,US,1590600092
158,tautira,-17.73,-149.15,75.2,94,40,3.36,PF,1590600092
159,kaitangata,-46.28,169.85,43.0,91,38,1.01,NZ,1590600093
160,sao jose da coroa grande,-8.9,-35.15,82.31,80,19,9.66,BR,1590600093
